"NAME","income_2010","income_2024","rent_2010","rent_2024","inflation_factor","income_2010_adj","rent_2010_adj","afford_ratio_2010","afford_ratio_2024","afford_change"
"Alabama",44455,75634,667,1077,1.4384798277666,63947.6207433641,959.466045120321,0.18004723878079,0.170875532168073,-0.00917170661271702
"Alaska",69573,101155,981,1444,1.4384798277666,100079.357057206,1411.14871103903,0.169203570350567,0.171301468044091,0.00209789769352373
"Arizona",50309,91212,844,1672,1.4384798277666,72368.4816551098,1214.07697463501,0.201315867936155,0.219971056439942,0.0186551885037876
"Arkansas",42777,71747,638,982,1.4384798277666,61533.8515923718,917.75013011509,0.178974682656568,0.164243801134542,-0.0147308815220256
"California",61067,110732,1163,2104,1.4384798277666,87843.6476422229,1672.95203969255,0.228535870437388,0.2280099700177,-0.000525900419688002
"Colorado",57655,109174,863,1822,1.4384798277666,82935.5544698832,1241.40809136257,0.17962015436649,0.200267462949054,0.0206473085825635
"Connecticut",68650,105621,992,1550,1.4384798277666,98751.640176177,1426.97198914447,0.173401310997815,0.17610134348283,0.00270003248501513
"Delaware",58895,96154,952,1530,1.4384798277666,84719.2694563138,1369.4327960338,0.193972323626793,0.190943694490089,-0.0030286291367046
"District of Columbia",75573,122917,1198,1931,1.4384798277666,108710.236023805,1723.29883366439,0.190226668254535,0.188517454867919,-0.00170921338661634
"Florida",47993,85890,947,1812,1.4384798277666,69036.9623740024,1362.24039689497,0.236784531077449,0.253161019909186,0.0163764888317373
"Georgia",49526,86411,819,1506,1.4384798277666,71242.1519499686,1178.11497894084,0.198441222792069,0.209140040041198,0.0106988172491296
"Hawaii",68592,101085,1291,1942,1.4384798277666,98668.2083461665,1857.07745764668,0.225857242827152,0.230538655586882,0.00468141275973047
"Idaho",46437,92066,683,1384,1.4384798277666,66798.6877619975,982.481722364587,0.176497189740939,0.180392327243499,0.0038951375025599
"Illinois",56990,92743,848,1322,1.4384798277666,81978.9653844185,1219.83089394608,0.178557641691525,0.171053340952956,-0.00750430073856881
